,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
0,0.0,AMI,0.05,0.9,0.849802371541502,0.9829705056179776,0.9227335846062288,0.8269230769230769,0.9843582025370888
1,1.0,AMI,0.05,0.95,0.8495049504950495,0.9831431079894644,0.922436024598294,0.825,0.9845194581810364
2,2.0,AMI,0.1,0.9,0.830848995463383,0.9837600090222172,0.9560107121602855,0.8217948717948718,0.9845194581810364
3,3.0,AMI,0.1,0.95,0.8406557377049181,0.9835249699673932,0.9425709184685578,0.8217948717948718,0.9845194581810364
4,4.0,AMI,0.15,0.9,0.8296488946684005,0.9846222920642048,0.9599285855980956,0.8179487179487179,0.9852719845194582
5,5.0,AMI,0.15,0.95,0.8301886792452831,0.9845625105639756,0.956457052172188,0.8179487179487179,0.9852719845194582
6,6.0,AMI,0.2,0.9,0.8296488946684005,0.984647279654844,0.9613667923031144,0.8179487179487179,0.9852719845194582
7,7.0,AMI,0.2,0.95,0.8296488946684005,0.9846222920642048,0.9599285855980956,0.8179487179487179,0.9852719845194582
8,8.0,AMI,0.25,0.9,0.8296488946684005,0.9846833249482922,0.963449712358659,0.8179487179487179,0.9852719845194582
9,9.0,AMI,0.25,0.95,0.8296488946684005,0.9846575956100564,0.9619619123189844,0.8179487179487179,0.9852719845194582
10,10.0,BDQ,0.05,0.9,0.5412844036697247,0.9906043676993398,0.9602158331319964,0.4957983193277311,0.9909741421369328
11,11.0,BDQ,0.05,0.95,0.5238095238095238,0.9908897403150276,0.9543367963276154,0.4621848739495798,0.9912993982761424
12,12.0,BDQ,0.1,0.9,0.3902439024390244,0.994667343829355,0.9580413948618828,0.2689075630252101,0.9948772158074484
13,13.0,BDQ,0.1,0.95,0.3902439024390244,0.994667343829355,0.9580413948618828,0.2689075630252101,0.9948772158074484
14,14.0,BDQ,0.15,0.9,0.3333333333333333,0.9959616355376072,0.9632761536603044,0.2100840336134453,0.9960969263294844
