,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
0,RIF,0.05,0.9,0.9608411892675852,0.9512465735543663,0.9718960856736066,0.9581881533101045,0.9775351858534825
1,RIF,0.05,0.95,0.9608334432282738,0.9514233481326717,0.9691310896972949,0.9579909276181711,0.9776254059906171
2,RIF,0.1,0.9,0.960702727693019,0.9514029694551639,0.9745785444565958,0.956281638288081,0.977655479369662
3,RIF,0.1,0.95,0.9607558139534884,0.9515770187148279,0.9733404865567546,0.9560186706988364,0.9777456995067966
4,RIF,0.15,0.9,0.9600580973129993,0.9515770187148279,0.9809958112374388,0.9560186706988364,0.9777456995067966
5,RIF,0.15,0.95,0.9600528227137669,0.9516329602722692,0.9794069702659761,0.955887186904214,0.9777757728858415
6,RIF,0.2,0.9,0.9600528227137669,0.9516329602722692,0.9820894290489652,0.955887186904214,0.9777757728858415
7,RIF,0.2,0.95,0.9598832968636032,0.9557638980588934,0.9781895466644657,0.9516797054763001,0.9798508360399375
8,RIF,0.25,0.9,0.9595155246252677,0.9650693229236775,0.9747023502465799,0.9426730655446717,0.9843919162757128
9,RIF,0.25,0.95,0.9594531197640909,0.9652103559870551,0.9728658976951489,0.941161001906515,0.9844821364128473
10,INH,0.05,0.9,0.9483015653285061,0.9718978500491106,0.9545529460238978,0.9430295970773548,0.9826324486561225
11,INH,0.05,0.95,0.9487234269842966,0.9731536269997808,0.9365883807169345,0.9404352199925875,0.9834755336728156
12,INH,0.1,0.9,0.9469284288873308,0.9739820259624986,0.9582200247218788,0.929581193413459,0.9841837250868377
13,INH,0.1,0.95,0.9468911917098446,0.974233673922701,0.9572517511330861,0.9288928892889289,0.9843523420901764
14,INH,0.15,0.9,0.9467465199093558,0.9742379656876353,0.9602389781623404,0.929051728702282,0.9843523420901764
15,INH,0.15,0.95,0.9467337226908934,0.9748858447488584,0.957560774618871,0.926933869857574,0.9847907462988568
16,INH,0.2,0.9,0.9462923900697712,0.9764482643152137,0.9611454470539761,0.9263514586752792,0.9857687249182208
17,INH,0.2,0.95,0.9462616822429907,0.9771082309375526,0.9571693448702101,0.9220627945147456,0.9862408525275689
18,INH,0.25,0.9,0.9459591570714752,0.9771107994389902,0.9606716110424393,0.922168687456981,0.9862408525275689
19,INH,0.25,0.95,0.945779185322704,0.977097083544875,0.957457766790276,0.9170858262296818,0.9863082993289043
20,EMB,0.05,0.9,0.9494773519163763,0.6623352341778068,0.8399412628487518,0.9374173061656523,0.8937115616631846
21,EMB,0.05,0.95,0.9493755874848933,0.6624191886067647,0.8376302929635782,0.9354326541413073,0.8939763999646883
