Unnamed: 0.1,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
148,148.0,RIF,0.25,0.9,0.9609905967786984,0.9845949845949846,0.9710671008380932,0.9379373012267151,0.9850723706587052,0.9700872139354633,41,23,352,416,catomatic_v3.3.0_train
88,88.0,INH,0.25,0.9,0.9442204301075268,0.9880707711553928,0.9566263771526368,0.9161051945229298,0.988683083965583,0.9598567218309085,64,23,630,717,catomatic_v3.3.0_train
154,154.0,STM,0.15,0.9,0.9542897327707456,0.9318181818181818,0.9147426981919332,0.8961038961038961,0.9383958523940226,0.939638860569214,115,8,545,668,catomatic_v3.3.0_train
18,,MXF,0.25,0.9,0.933853459972863,0.9386098779134296,0.9318450144896426,0.907981530343008,0.9432765030124344,0.9348786962583889,11,23,520,554,catomatic_v3.3.0_train
8,,LEV,0.25,0.9,0.9094865100087032,0.9691598360655738,0.9322715323952374,0.8766778523489933,0.9714691943127962,0.9319455123030712,13,20,359,392,catomatic_v3.3.0_train
68,68.0,EMB,0.25,0.9,0.9484331614438716,0.9165071418053304,0.9041803531822904,0.8610010803024847,0.9245634458672876,0.930004793899993,16,54,1083,1153,catomatic_v3.3.0_train
130,130.0,PZA,0.05,0.9,0.8639240506329114,0.9727181989575246,0.9761871862189674,0.8557993730407524,0.9734355596350088,0.9190149222475066,440,0,144,584,catomatic_v3.3.0_train
0,0.0,AMI,0.05,0.9,0.849802371541502,0.9829705056179776,0.9227335846062288,0.8269230769230769,0.9843582025370888,0.90433905437739,12,6,393,411,catomatic_v3.3.0_train
20,20.0,CAP,0.05,0.9,0.8402173913043478,0.976050981601398,0.922950251343387,0.8085774058577406,0.977981477981478,0.8975140404012707,43,2,236,281,catomatic_v3.3.0_train
70,70.0,ETH,0.05,0.9,0.9070034443168772,0.8682261560693642,0.898732514612202,0.8203530633437176,0.8817474469119793,0.8937160719016882,296,1,348,645,catomatic_v3.3.0_train
90,90.0,KAN,0.05,0.9,0.8356164383561644,0.929473360024638,0.9539404183393196,0.8319694489907256,0.9330370197087547,0.8874383108533375,22,4,367,393,catomatic_v3.3.0_train
10,10.0,BDQ,0.05,0.9,0.5412844036697247,0.9906043676993398,0.9602158331319964,0.4957983193277311,0.9909741421369328,0.7598666787710636,28,1,198,227,catomatic_v3.3.0_train
37,37.0,CIP,0.2,0.95,0.7777777777777778,0.951219512195122,0.0568828213879408,0.0608695652173913,0.9973821989528796,0.6856313068250136,2,1,2,5,catomatic_v3.3.0_train
114,114.0,LZD,0.15,0.9,0.3069767441860465,0.9978904302243816,0.9964810858363704,0.3069767441860465,0.997897955283776,0.6521517183276118,1,4,33,38,catomatic_v3.3.0_train
50,50.0,DLM,0.05,0.9,0.3015873015873015,0.9983024288325932,0.634962068684232,0.1928934010152284,0.9989222351185542,0.5772767931802751,20,0,109,129,catomatic_v3.3.0_train
40,40.0,CFZ,0.05,0.9,0.1705989110707804,0.9900156471201847,0.9594835874193104,0.1617900172117039,0.9904155639796868,0.5742008671553077,48,0,188,236,catomatic_v3.3.0_train
