Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2
CAP,0.1,0.1,84.02173913043478,97.60509816013979,92.2950251343387,80.85774058577407,97.7981477981478
CAP,0.1,0.2,83.27904451682954,97.67967145790554,92.39902929450511,80.23012552301255,97.86429786429787
CAP,0.1,0.30000000000000004,82.41042345276874,97.75177086541423,92.40769630785232,79.39330543933055,97.93044793044793
CAP,0.1,0.4,81.97611292073833,97.7948717948718,92.48569942797712,78.97489539748955,97.96824796824797
CAP,0.1,0.5,81.21606948968513,97.85641025641026,92.48569942797712,78.24267782426779,98.02494802494802
CAP,0.1,0.6000000000000001,79.8913043478261,97.89851358277805,92.52036748136592,76.88284518828452,98.06274806274806
CAP,0.1,0.7000000000000001,78.69565217391305,97.95102960762217,92.57236956144912,75.73221757322176,98.1099981099981
CAP,0.1,0.8,77.71739130434783,98.00327667417571,92.61570462818513,74.7907949790795,98.15724815724816
CAP,0.1,0.9,76.273022751896,98.0460358056266,92.71970878835153,73.64016736401673,98.1950481950482
CAP,0.2,0.1,84.03908794788273,97.60509816013979,92.30369214768591,80.9623430962343,97.7981477981478
CAP,0.2,0.2,83.29718004338395,97.67967145790554,92.40769630785232,80.3347280334728,97.86429786429787
CAP,0.2,0.30000000000000004,82.4295010845987,97.75177086541423,92.41636332119951,79.49790794979079,97.93044793044793
CAP,0.2,0.4,81.99566160520607,97.7948717948718,92.49436644132432,79.07949790794979,97.96824796824797
CAP,0.2,0.5,81.23644251626898,97.85641025641026,92.49436644132432,78.34728033472803,98.02494802494802
CAP,0.2,0.6000000000000001,79.91313789359393,97.89851358277805,92.52903449471313,76.98744769874477,98.06274806274806
CAP,0.2,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.2,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
CAP,0.2,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.30000000000000004,0.1,84.02173913043478,97.60509816013979,92.2950251343387,80.85774058577407,97.7981477981478
CAP,0.30000000000000004,0.2,83.27904451682954,97.67967145790554,92.39902929450511,80.23012552301255,97.86429786429787
CAP,0.30000000000000004,0.30000000000000004,82.4295010845987,97.75177086541423,92.41636332119951,79.49790794979079,97.93044793044793
CAP,0.30000000000000004,0.4,81.99566160520607,97.7948717948718,92.49436644132432,79.07949790794979,97.96824796824797
CAP,0.30000000000000004,0.5,81.23644251626898,97.85641025641026,92.49436644132432,78.34728033472803,98.02494802494802
CAP,0.30000000000000004,0.6000000000000001,79.91313789359393,97.89851358277805,92.52903449471313,76.98744769874477,98.06274806274806
CAP,0.30000000000000004,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.30000000000000004,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
CAP,0.30000000000000004,0.9,76.2987012987013,98.0460358056266,92.72837580169873,73.74476987447699,98.1950481950482
CAP,0.4,0.1,84.02173913043478,97.60509816013979,92.2950251343387,80.85774058577407,97.7981477981478
CAP,0.4,0.2,83.27904451682954,97.67967145790554,92.39902929450511,80.23012552301255,97.86429786429787
CAP,0.4,0.30000000000000004,82.4295010845987,97.75177086541423,92.41636332119951,79.49790794979079,97.93044793044793
CAP,0.4,0.4,81.99566160520607,97.7948717948718,92.49436644132432,79.07949790794979,97.96824796824797
CAP,0.4,0.5,81.23644251626898,97.85641025641026,92.49436644132432,78.34728033472803,98.02494802494802
CAP,0.4,0.6000000000000001,79.91313789359393,97.89851358277805,92.52903449471313,76.98744769874477,98.06274806274806
CAP,0.4,0.7000000000000001,78.71878393051031,97.95102960762217,92.58103657479633,75.83682008368201,98.1099981099981
CAP,0.4,0.8,77.74158523344191,98.00327667417571,92.62437164153233,74.89539748953975,98.15724815724816
