Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,TP,FN,TN,FP,UP,UN
RIF,0.9,0.5,95.58000745990302,98.60533301636356,97.24723506665585,93.79575402635432,98.64890799524048,10250,474,24887,352,204,814
RIF,0.9,0.6000000000000001,95.30026109660574,98.60973581019528,97.26886779697682,93.5212298682284,98.65274632479945,10220,504,24896,351,204,806
RIF,0.9,0.7000000000000001,94.94921256173703,98.62574257425743,97.29590870987805,93.23755490483163,98.66809964303536,10189,542,24903,347,197,803
RIF,0.9,0.8,94.58729271473821,98.6298115000792,97.30942916632866,92.90812591508053,98.67193797259432,10153,581,24906,346,194,801
RIF,0.9,0.9,94.02123300428386,98.65779783822308,97.33376598793976,92.3865300146413,98.69880627950715,10096,642,24918,339,190,796
RIF,0.1,0.1,96.1416589002796,98.52678394154786,97.11203050214975,94.39970717423132,98.57597973361993,10316,414,24812,371,198,870
RIF,0.1,0.2,95.9545115585384,98.5721085197525,97.18504096698305,94.19838945827233,98.61820135876866,10294,434,24852,360,200,841
RIF,0.1,0.30000000000000004,95.83139046908514,98.592833359759,97.2147859711744,94.03367496339678,98.63739300656354,10276,447,24873,355,205,825
RIF,0.1,0.4,95.72960372960372,98.6011491975431,97.23912279278548,93.95131771595901,98.64506966568149,10267,458,24882,353,203,818
RIF,0.1,0.5,95.57959526251982,98.60533301636356,97.24453097536573,93.78660322108345,98.64890799524048,10249,474,24887,352,205,814
RIF,0.1,0.6000000000000001,95.29982281078057,98.60973581019528,97.26616370568671,93.51207906295754,98.65274632479945,10219,504,24896,351,205,806
RIF,0.1,0.7000000000000001,94.94874184529357,98.62574257425743,97.29320461858792,93.22840409956076,98.66809964303536,10188,542,24903,347,198,803
RIF,0.1,0.8,94.58678840957793,98.6298115000792,97.30672507503854,92.89897510980967,98.67193797259432,10152,581,24906,346,195,801
RIF,0.1,0.9,94.02011922503726,98.65779783822308,97.32835780535952,92.36822840409957,98.69880627950715,10094,642,24918,339,192,796
INH,0.4,0.1,94.65741020223362,98.7389893370422,93.70828848223897,91.81671790367443,98.84245467699378,12544,708,21298,272,410,1928
INH,0.4,0.2,94.46708937198068,98.80116692497037,94.68783638320775,91.60445030010247,98.88075580900502,12515,733,21675,263,414,1560
INH,0.4,0.30000000000000004,94.20858155493552,98.85253249663828,95.72389666307858,91.44341970428927,98.9105455783471,12493,768,22054,256,401,1188
INH,0.4,0.4,94.0497737556561,98.86805959464901,95.83153928955866,91.28238910847607,98.92331262235083,12471,789,22098,253,402,1147
INH,0.4,0.5,93.86540055769086,98.87761033850558,95.8880516684607,91.16527594788464,98.93182398502,12455,814,22112,251,393,1135
INH,0.4,0.6000000000000001,93.6718396866054,98.88670303138693,95.90958019375672,91.01156492460841,98.94033534768917,12434,840,22117,249,388,1132
INH,0.4,0.7000000000000001,93.46336320506062,98.89137237371479,95.93379978471475,90.84321475625823,98.94459102902374,12411,868,22122,248,383,1128
INH,0.4,0.8,93.24497326605919,98.91411207435874,95.95532831001077,90.63094715268628,98.96586943569665,12382,897,22135,243,383,1120
INH,0.4,0.9,92.84961613728737,98.92780557541101,95.99031216361679,90.29424681598594,98.9786364797004,12336,950,22144,240,376,1114
INH,0.8,0.1,94.6566037735849,98.7435671565673,93.70021528525297,91.8020787586005,98.84671035832837,12542,708,21298,271,412,1929
INH,0.8,0.2,94.46583616459041,98.80567078451931,94.67707212055974,91.58249158249158,98.88501149033961,12512,733,21675,262,417,1561
INH,0.8,0.30000000000000004,94.2072710816111,98.8569635573087,95.71313240043057,91.42146098667838,98.91480125968167,12490,768,22054,255,404,1189
INH,0.8,0.4,94.04797827398914,98.87248322147651,95.81808396124866,91.25311081832821,98.92756830368542,12467,789,22098,252,406,1148
INH,0.8,0.5,93.86355069732379,98.88203201860298,95.8745963401507,91.1359976577368,98.93607966635459,12451,814,22112,250,397,1136
INH,0.8,0.6000000000000001,93.67136291720033,98.89112452492735,95.90419806243273,91.00424535207145,98.94459102902374,12433,840,22117,248,389,1133
INH,0.8,0.7000000000000001,93.46385542168674,98.89579328535027,95.93379978471475,90.85053432879519,98.94884671035832,12412,868,22122,247,382,1129
INH,0.8,0.8,93.24599051276259,98.91411207435874,95.96071044133477,90.6455862977602,98.96586943569665,12384,897,22135,243,381,1120
INH,0.8,0.9,92.85123034088343,98.92780557541101,95.9983853606028,90.31620553359684,98.9786364797004,12339,950,22144,240,373,1114
STM,0.6000000000000001,0.1,95.44072948328267,93.0457251994158,91.64116828929069,89.85252036099493,93.70743112737622,4082,195,8282,619,266,936
STM,0.6000000000000001,0.2,95.2559009114279,93.0991921005386,91.7315716272601,89.72044904248294,93.74809393107655,4076,203,8297,615,264,925
STM,0.6000000000000001,0.30000000000000004,95.15902712815716,93.1479197039363,91.74547983310153,89.56636583755227,93.78875673477687,4069,207,8306,611,267,920
STM,0.6000000000000001,0.4,94.94855004677268,93.20475442924423,91.75243393602224,89.36825885978429,93.83958523940225,4060,216,8312,606,267,919
STM,0.6000000000000001,0.5,94.76023391812866,93.24066808653738,91.7663421418637,89.17015188201628,93.8700823421775,4051,224,8318,603,268,916
STM,0.6000000000000001,0.6000000000000001,94.48726932959589,93.25565762939728,91.84283727399165,89.0380805635043,93.88024804310258,4045,236,8324,602,262,911
STM,0.6000000000000001,0.7000000000000001,94.28104575163398,93.26761510025764,91.87065368567455,88.9060092449923,93.89041374402764,4039,245,8326,601,259,910
STM,0.6000000000000001,0.8,94.00373308446103,93.30497089117779,91.91933240611961,88.68589038080563,93.92091084680288,4029,257,8334,598,257,905
STM,0.6000000000000001,0.9,93.03030303030303,93.33184157529648,91.98887343532685,87.84943869689631,93.94124224865304,3991,299,8342,596,253,899
LEV,0.1,0.1,92.32218558643429,97.11028332768934,93.26539278131635,89.41605839416059,97.32860273400814,1960,163,8603,256,69,724
LEV,0.1,0.2,92.02453987730061,97.14801037087138,93.33333333333333,88.95985401459853,97.35990817071898,1950,169,8618,253,73,712
LEV,0.1,0.30000000000000004,91.33932796971132,97.18436760896498,93.35031847133757,88.04744525547446,97.39121360742983,1930,183,8629,250,79,704
LEV,0.1,0.4,90.61166429587483,97.25225225225225,93.32484076433121,87.18065693430657,97.45382448085151,1911,198,8636,244,83,703
LEV,0.1,0.5,89.81525343439128,97.27661489984246,93.39278131634819,86.4963503649635,97.47469477199206,1896,215,8644,242,81,697
LEV,0.1,0.6000000000000001,88.69441816461683,97.32283464566929,93.45222929936305,85.53832116788321,97.51643535427318,1875,239,8652,238,78,693
LEV,0.1,0.7000000000000001,87.13477851083883,97.380845323741,93.57112526539278,84.3521897810219,97.5686110821246,1849,273,8663,233,70,687
LEV,0.1,0.8,85.80159849553361,97.42812219227314,93.68152866242038,83.25729927007299,97.61035166440571,1825,302,8675,229,65,679
LEV,0.1,0.9,84.03558052434457,97.47446402514312,93.8004246284501,81.88868613138686,97.65209224668683,1795,341,8684,225,56,674
LEV,0.4,0.1,92.4044734389562,97.07740916271722,93.48619957537156,90.46532846715328,97.2972972972973,1983,163,8603,259,46,721
LEV,0.4,0.2,92.1138590760616,97.10422535211268,93.57112526539278,90.05474452554745,97.31816758843786,1974,169,8618,257,49,708
LEV,0.4,0.30000000000000004,91.44059869036482,97.14060565124394,93.59660297239914,89.18795620437956,97.3494730251487,1955,183,8629,254,54,700
LEV,0.4,0.4,90.73033707865169,97.20846465556056,93.58811040339702,88.41240875912408,97.41208389857039,1938,198,8636,248,56,699
LEV,0.4,0.5,89.93445692883894,97.24378445269434,93.63057324840764,87.63686131386861,97.44338933528122,1921,215,8644,245,56,694
LEV,0.4,0.6000000000000001,88.79512423816222,97.29000337343979,93.63906581740976,86.40510948905109,97.48512991756235,1894,239,8652,241,59,690
LEV,0.4,0.7000000000000001,87.2250818905007,97.34801663108215,93.723991507431,85.03649635036497,97.53730564541375,1864,273,8663,236,55,684
LEV,0.4,0.8,85.86142322097379,97.39530706186146,93.78343949044586,83.66788321167883,97.57904622769487,1834,302,8675,232,56,676
LEV,0.4,0.9,84.04305100608329,97.44165170556553,93.83439490445859,81.93430656934306,97.620786809976,1796,341,8684,228,55,671
LEV,0.8,0.1,92.38317757009345,97.11028332768934,93.40976645435244,90.19160583941606,97.32860273400814,1977,163,8603,256,52,724
LEV,0.8,0.2,92.09171736078615,97.1370604147881,93.49469214437367,89.78102189781022,97.3494730251487,1968,169,8618,254,55,711
LEV,0.8,0.30000000000000004,91.41651031894934,97.17342342342342,93.52016985138005,88.91423357664233,97.38077846185953,1949,183,8629,251,60,703
LEV,0.8,0.4,90.69985908877408,97.241301655219,93.5031847133758,88.09306569343066,97.44338933528122,1931,198,8636,245,63,702
LEV,0.8,0.5,89.90610328638498,97.27661489984246,93.55414012738854,87.36313868613139,97.47469477199206,1915,215,8644,242,62,697
LEV,0.8,0.6000000000000001,88.7740723344293,97.32283464566929,93.5796178343949,86.22262773722628,97.51643535427318,1890,239,8652,238,63,693
LEV,0.8,0.7000000000000001,87.20112517580873,97.380845323741,93.66454352441613,84.85401459854015,97.5686110821246,1860,273,8663,233,59,687
LEV,0.8,0.8,85.85480093676814,97.42812219227314,93.74946921443737,83.62226277372264,97.61035166440571,1833,302,8675,229,57,679
LEV,0.8,0.9,84.03558052434457,97.47446402514312,93.8004246284501,81.88868613138686,97.65209224668683,1795,341,8684,225,56,674
LEV,0.5,0.1,92.42212924221292,96.95706074608363,93.62208067940551,90.69343065693431,97.18251069602421,1988,163,8603,270,41,710
LEV,0.5,0.2,92.13221601489758,96.99493528418684,93.69851380042464,90.28284671532847,97.21381613273505,1979,169,8618,267,44,698
LEV,0.5,0.30000000000000004,91.46455223880598,97.03137298999212,93.73248407643312,89.46167883211679,97.24512156944589,1961,183,8629,264,48,690
LEV,0.5,0.4,90.76492537313433,97.07733812949641,93.7579617834395,88.77737226277372,97.28686215172702,1946,198,8636,260,48,687
LEV,0.5,0.5,89.98136067101584,97.13450949544892,93.8004246284501,88.09306569343066,97.33903787957841,1931,215,8644,255,46,684
LEV,0.5,0.6000000000000001,88.84220354808589,97.180725598113,93.8004246284501,86.81569343065694,97.38077846185953,1903,239,8652,251,50,680
LEV,0.5,0.7000000000000001,87.26084927671488,97.23874733415647,93.85987261146497,85.3102189781022,97.43295418971096,1870,273,8663,246,49,674
LEV,0.5,0.8,85.90760615958935,97.29699416778824,93.91932059447983,83.98722627737226,97.48512991756235,1841,302,8675,241,49,667
LEV,0.5,0.9,84.1025641025641,97.34334715839032,93.97876857749469,82.2992700729927,97.52687049984348,1804,341,8684,237,47,662
LEV,0.9,0.1,92.32580037664783,97.11028332768934,93.27388535031848,89.46167883211679,97.32860273400814,1961,163,8603,256,68,724
LEV,0.9,0.2,92.02830188679245,97.14801037087138,93.34182590233546,89.00547445255475,97.35990817071898,1951,169,8618,253,72,712
LEV,0.9,0.30000000000000004,91.3434247871334,97.18436760896498,93.3588110403397,88.09306569343066,97.39121360742983,1931,183,8629,250,78,704
LEV,0.9,0.4,90.61611374407583,97.25225225225225,93.33333333333333,87.22627737226277,97.45382448085151,1912,198,8636,244,82,703
LEV,0.9,0.5,89.82489351632749,97.27661489984246,93.40976645435244,86.58759124087592,97.47469477199206,1898,215,8644,242,79,697
LEV,0.9,0.6000000000000001,88.70510396975425,97.32283464566929,93.4692144373673,85.62956204379562,97.51643535427318,1877,239,8652,238,76,693
LEV,0.9,0.7000000000000001,87.14083843617523,97.380845323741,93.5796178343949,84.3978102189781,97.5686110821246,1850,273,8663,233,69,687
LEV,0.9,0.8,85.80827067669173,97.42812219227314,93.6900212314225,83.3029197080292,97.61035166440571,1826,302,8675,229,64,679
LEV,0.9,0.9,84.05051449953227,97.47446402514312,93.81740976645435,81.97992700729927,97.65209224668683,1797,341,8684,225,54,674
MXF,0.1,0.1,94.06691962745775,94.10060975609757,93.18789994182664,91.41803553469661,94.55198141761105,2727,172,12346,774,84,1087
MXF,0.1,0.2,93.84083044982698,94.20808280691072,93.24607329842932,90.91518605430774,94.64348560568735,2712,178,12378,761,93,1068
MXF,0.1,0.30000000000000004,93.31485971596814,94.2728932156982,93.28097731239092,90.31176667784109,94.69979587527276,2694,193,12395,753,96,1059
MXF,0.1,0.4,92.82495667244368,94.31351680097309,93.304246655032,89.77539389875963,94.73498979376363,2678,207,12406,748,98,1053
MXF,0.1,0.5,92.02496532593621,94.38364493084055,93.32169866201279,88.97083473013745,94.79833884704722,2654,230,12419,739,99,1049
MXF,0.1,0.6000000000000001,90.6984785615491,94.46132806564353,93.39150668993601,87.9316124706671,94.868726684029,2623,269,12433,729,91,1045
MXF,0.1,0.7000000000000001,89.48638400551533,94.5106673752942,93.49621873182082,87.02648340596714,94.91095938621807,2596,305,12448,723,82,1036
MXF,0.1,0.8,88.54094975911906,94.59192961165049,93.60093077370564,86.25544753603755,94.98134722319983,2573,333,12471,713,77,1023
MXF,0.1,0.9,87.00719917723688,94.72607410775176,93.74054682955206,85.08213208179684,95.10100654606885,2538,379,12501,696,66,1010
RIF,0.6000000000000001,0.1,96.1801070308175,98.03121533829821,97.56902193018037,95.38799414348462,98.09235020918896,10424,414,24747,497,90,809
RIF,0.6000000000000001,0.2,96.00516652827751,98.08064452430789,97.77994105080987,95.22327964860908,98.13457183433769,10406,433,24835,486,89,732
