,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
0,0.0,AMI,0.05,0.9,0.857649667405765,0.9839520657001593,0.9272301302758156,0.8365051903114187,0.985188909083878
1,1.0,AMI,0.05,0.95,0.8575233022636485,0.9840345289976534,0.92708814028611,0.8356401384083045,0.9852662515951892
2,2.0,AMI,0.1,0.9,0.8428884026258205,0.9845817652057788,0.9582904405239432,0.833044982698962,0.9852662515951892
3,3.0,AMI,0.1,0.95,0.8428884026258205,0.9845617731674704,0.9571545206062972,0.833044982698962,0.9852662515951892
4,4.0,AMI,0.15,0.9,0.8416666666666667,0.9853462157809983,0.9626921302048206,0.8300173010380623,0.9859236629413356
5,5.0,AMI,0.15,0.95,0.8420359806932866,0.9852976815574764,0.9597458379184268,0.8300173010380623,0.9859236629413356
6,6.0,AMI,0.2,0.9,0.8416666666666667,0.985353880819217,0.9631535976713642,0.8300173010380623,0.9859236629413356
7,7.0,AMI,0.2,0.95,0.8416666666666667,0.9853462157809983,0.9626921302048206,0.8300173010380623,0.9859236629413356
8,8.0,AMI,0.25,0.9,0.8409290096406661,0.98540614225002,0.9663838699371694,0.8300173010380623,0.9859236629413356
9,9.0,AMI,0.25,0.95,0.8416666666666667,0.9853609491252764,0.9635795676404814,0.8300173010380623,0.9859236629413356
10,10.0,BDQ,0.05,0.9,0.8055248618784531,0.9841331772662244,0.9533930557995198,0.7649527806925498,0.9848691554012154
11,11.0,BDQ,0.05,0.95,0.8024691358024691,0.9849017310946244,0.9518707184261374,0.7502623294858342,0.9856132952995164
12,12.0,BDQ,0.1,0.9,0.7744270205066345,0.985996547093804,0.9642250717255108,0.6736621196222455,0.9864194468560088
13,13.0,BDQ,0.1,0.95,0.7733333333333333,0.9862488007675088,0.9637566602260086,0.6694648478488983,0.986667493488776
14,14.0,BDQ,0.15,0.9,0.7723970944309927,0.9863526723371842,0.9707828327185432,0.6694648478488983,0.986667493488776
15,15.0,BDQ,0.15,0.95,0.7708333333333334,0.98654250908859,0.9658059605363312,0.6600209863588667,0.9869155401215428
16,16.0,BDQ,0.2,0.9,0.769889840881273,0.9866150723166708,0.970841384155981,0.6600209863588667,0.9869155401215428
17,17.0,BDQ,0.2,0.95,0.7676143386897404,0.987167270186138,0.9690262895954096,0.6516264428121721,0.9874736450452684
18,18.0,BDQ,0.25,0.9,0.7676143386897404,0.9871786734370042,0.9698460097195386,0.6516264428121721,0.9874736450452684
19,19.0,BDQ,0.25,0.95,0.737062937062937,0.9889991097545466,0.9626441829146906,0.55299055613851,0.9892719831328288
20,20.0,CAP,0.05,0.9,0.8249496981891348,0.977598385469223,0.9296351028759804,0.793036750483559,0.9792432836751233
21,21.0,CAP,0.05,0.95,0.8242424242424242,0.9779273216689098,0.929009889735137,0.7891682785299806,0.9795549460824036
22,22.0,CAP,0.1,0.9,0.8040816326530612,0.9786720584398644,0.9549846538592702,0.7620889748549323,0.9796172785638596
23,23.0,CAP,0.1,0.95,0.8040816326530612,0.9786720584398644,0.9549846538592702,0.7620889748549323,0.9796172785638596
24,24.0,CAP,0.15,0.9,0.8035350101971448,0.9787510559490544,0.958281232238263,0.7620889748549323,0.9796172785638596
25,25.0,CAP,0.15,0.95,0.8035350101971448,0.9787261726628066,0.95725815618961,0.7620889748549323,0.9796172785638596
26,26.0,CAP,0.2,0.9,0.8029891304347826,0.9788006482982172,0.9603842218938274,0.7620889748549323,0.9796172785638596
27,27.0,CAP,0.2,0.95,0.8035350101971448,0.9787510559490544,0.958281232238263,0.7620889748549323,0.9796172785638596
28,28.0,CAP,0.25,0.9,0.8013559322033899,0.978905947619662,0.9649312265545072,0.7620889748549323,0.9796172785638596
29,29.0,CAP,0.25,0.95,0.8004101161995899,0.9789160522571464,0.9619756735250654,0.754996776273372,0.9796796110453158
30,30.0,CIP,0.05,0.9,0.0,1.0,0.0029761904761904,0.0,1.0
31,31.0,CIP,0.05,0.95,0.0,1.0,0.0029761904761904,0.0,1.0
32,32.0,CIP,0.1,0.9,0.0,1.0,0.0029761904761904,0.0,1.0
33,33.0,CIP,0.1,0.95,0.0,1.0,0.0029761904761904,0.0,1.0
34,34.0,CIP,0.15,0.9,0.0,1.0,0.0029761904761904,0.0,1.0
35,35.0,CIP,0.15,0.95,0.0,1.0,0.0029761904761904,0.0,1.0
36,36.0,CIP,0.2,0.9,0.7272727272727273,0.9534883720930232,0.0535714285714285,0.048780487804878,0.9976303317535544
37,37.0,CIP,0.2,0.95,0.7272727272727273,0.9534883720930232,0.0535714285714285,0.048780487804878,0.9976303317535544
38,38.0,CIP,0.25,0.9,0.7272727272727273,0.9534883720930232,0.0535714285714285,0.048780487804878,0.9976303317535544
39,39.0,CIP,0.25,0.95,0.0,1.0,0.0436507936507936,0.0,1.0
40,40.0,CFZ,0.05,0.9,0.1800595238095238,0.989740884042678,0.9605070697220868,0.1704225352112676,0.99014028959378
41,41.0,CFZ,0.05,0.95,0.1600609756097561,0.9916010807001058,0.9579067121729238,0.1478873239436619,0.99194320806806
42,42.0,CFZ,0.1,0.9,0.1168,0.9924224761016552,0.9632699496180724,0.1028169014084507,0.9926756436982364
43,43.0,CFZ,0.1,0.95,0.1038961038961039,0.9947907521217442,0.9589360203694676,0.0901408450704225,0.994985632993408
44,44.0,CFZ,0.15,0.9,0.1033925686591276,0.9948165404775772,0.963703342542933,0.0901408450704225,0.994985632993408
45,45.0,CFZ,0.15,0.95,0.1004862236628849,0.9948744830799696,0.9635408201961104,0.0873239436619718,0.9950419741957294
46,46.0,CFZ,0.2,0.9,0.0840197693574958,0.9961592178770948,0.963811690774148,0.0718309859154929,0.996281480646797
47,47.0,CFZ,0.2,0.95,0.0796019900497512,0.9963252449836676,0.9614280296874154,0.0676056338028169,0.9964505042537608
48,48.0,CFZ,0.25,0.9,0.0792079207920792,0.9963399755998372,0.96532856601116,0.0676056338028169,0.9964505042537608
49,49.0,CFZ,0.25,0.95,0.0053667262969588,0.9999415853729774,0.9576900157104936,0.004225352112676,0.9999436587976788
50,50.0,DLM,0.05,0.9,0.2911392405063291,0.9980838833297848,0.6189334542862697,0.1869918699186991,0.998814775795088
51,51.0,DLM,0.05,0.95,0.2631578947368421,0.9993604775101258,0.6177671224000518,0.1626016260162601,0.9996049252650292
52,52.0,DLM,0.1,0.9,0.2083333333333333,0.9993654822335024,0.6220436726495173,0.1219512195121951,0.9996049252650292
53,53.0,DLM,0.1,0.95,0.1971830985915492,0.999682640431609,0.6217196915700123,0.1138211382113821,0.9998024626325146
54,54.0,DLM,0.15,0.9,0.1971830985915492,0.999682640431609,0.6217196915700123,0.1138211382113821,0.9998024626325146
55,55.0,DLM,0.15,0.95,0.1971830985915492,0.999682640431609,0.6217196915700123,0.1138211382113821,0.9998024626325146
56,56.0,DLM,0.2,0.9,0.1971830985915492,0.999682640431609,0.6217196915700123,0.1138211382113821,0.9998024626325146
57,57.0,DLM,0.2,0.95,0.1971830985915492,0.999682640431609,0.6217196915700123,0.1138211382113821,0.9998024626325146
58,58.0,DLM,0.25,0.9,0.1971830985915492,0.9996829758004862,0.6223676537290223,0.1138211382113821,0.9998024626325146
59,59.0,DLM,0.25,0.95,0.109375,0.9996829758004862,0.6214605067064084,0.056910569105691,0.9998024626325146
