Unnamed: 0.1,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2,Score,R,S,U,Total,catalogue
148,148.0,RIF,0.25,0.9,0.9590234816736511,0.9830596422684816,0.9744535964769204,0.9419182020122828,0.9835516566889928,0.9693203528127541,47,26,400,473,catomatic_v3.3.0_all_samples
86,86.0,INH,0.2,0.9,0.945069065210408,0.984559395095753,0.9613062961674612,0.925399737876802,0.9853336018257484,0.9601636103674221,88,25,731,844,catomatic_v3.3.0_all_samples
18,,MXF,0.25,0.9,0.9337413517828632,0.935385784872672,0.9398704201871708,0.906016008262329,0.9396092362344582,0.9354604953906673,12,35,653,700,catomatic_v3.3.0_all_samples
154,154.0,STM,0.15,0.9,0.9534804173080212,0.9091596559221098,0.9143843242039634,0.9031265187105136,0.9184971588499704,0.9323649702714362,135,12,628,775,catomatic_v3.3.0_all_samples
8,,LEV,0.25,0.9,0.906215921483097,0.9714914002984372,0.9345162653147444,0.8707649318896262,0.9735152487961476,0.9314586338940285,14,25,434,473,catomatic_v3.3.0_all_samples
130,130.0,PZA,0.05,0.9,0.875632975491189,0.966761756569848,0.9756377285049004,0.8668538199318228,0.967671417160634,0.9229725604175291,554,1,170,725,catomatic_v3.3.0_all_samples
66,66.0,EMB,0.2,0.9,0.9439356092145434,0.8932238833921159,0.9129929045015704,0.895825102067694,0.9033397377938516,0.9225335505252206,23,46,1197,1266,catomatic_v3.3.0_all_samples
0,0.0,AMI,0.05,0.9,0.857649667405765,0.9839520657001593,0.9272301302758156,0.8365051903114187,0.985188909083878,0.9094564794680934,12,8,491,511,catomatic_v3.3.0_all_samples
94,94.0,KAN,0.15,0.9,0.8256979241231209,0.9743357877965808,0.9623095132416036,0.8160594269543686,0.9753810566318312,0.8976116010488555,10,16,498,524,catomatic_v3.3.0_all_samples
20,20.0,CAP,0.05,0.9,0.8249496981891348,0.977598385469223,0.9296351028759804,0.793036750483559,0.9792432836751233,0.8916813853105303,63,4,317,384,catomatic_v3.3.0_all_samples
72,72.0,ETH,0.1,0.9,0.8859915100060642,0.8975163755458515,0.8858298796131834,0.7435114503816794,0.9080670828742808,0.8894166435894243,161,5,659,825,catomatic_v3.3.0_all_samples
10,10.0,BDQ,0.05,0.9,0.8055248618784531,0.9841331772662244,0.9533930557995198,0.7649527806925498,0.9848691554012154,0.8886809952789978,148,5,232,385,catomatic_v3.3.0_all_samples
38,38.0,CIP,0.25,0.9,0.7272727272727273,0.9534883720930232,0.0535714285714285,0.048780487804878,0.9976303317535544,0.6603971609785563,2,2,9,13,catomatic_v3.3.0_all_samples
111,111.0,LZD,0.05,0.95,0.3011049723756906,0.9977226595376008,0.9913215370522154,0.3002754820936639,0.9977426636568848,0.6481335914595686,2,1,51,54,catomatic_v3.3.0_all_samples
40,40.0,CFZ,0.05,0.9,0.1800595238095238,0.989740884042678,0.9605070697220868,0.1704225352112676,0.99014028959378,0.5790534410619828,55,5,254,314,catomatic_v3.3.0_all_samples
50,50.0,DLM,0.05,0.9,0.2911392405063291,0.9980838833297848,0.6189334542862697,0.1869918699186991,0.998814775795088,0.5687814761093539,25,2,135,162,catomatic_v3.3.0_all_samples
